"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pbqc","treatment1","treatment2","pooled_R1.mzXML","pooled_R2.mzXML","Pooled_R3.mzXML","Treatment1_R1.mzXML","Treatment1_R2.mzXML","Treatment1_R3.mzXML","Treatment2_R1.mzXML","Treatment2_R2.mzXML","Treatment2_R3.mzXML","isotopes","adduct","pcgroup","RespMed"
"5017",853.614100987776,853.610725879146,853.617476096406,8062.30178137788,8057.05754791145,8067.5460148443,2,1,0,1,1884,1865,1833,1844,1899,1932,1865,1789,1767,"","","380",1865
"7301",339.200486938069,339.198586709653,339.201188116969,8093.3314878389,8088.53554331807,8103.76935801619,3,0,1,2,5386,4762,4881,4919,5350,5471,4744,6773,4996,"[1380][M]-","","279",4996
"7302",325.182031516353,325.181430807531,325.184340281688,8185.0372688248,8177.23933652132,8185.81697992795,3,1,0,2,2771,2328,2453,2244,2392,2861,2464,2711,4267,"[1381][M]-","","325",2464
"5258",174.956044480982,174.955731057322,174.957739441466,8243.75974307641,8241.85441870036,8248.22459965147,9,3,3,3,7582,7526,7369,7766,7804,7681,7766,7723,7640,"","","264",7681
"5274",235.92634274356,235.92514014441,235.928590772802,8283.55474353893,8261.59250803161,8313.61893053113,9,3,3,3,2053,1802,2046,2087,2085,2189,1973,1948,2095,"","","375",2053
"5270",206.972240294641,206.971556699634,206.974064172602,8297.74678922755,8295.60538015819,8300.48378696015,9,3,3,3,3516,3776,3106,3568,3637,3522,3207,3352,3431,"","","332",3516
"5246",316.94549546434,316.94549546434,316.94549546434,8337.87943643492,8337.87943643492,8337.87943643492,1,1,0,0,301,305,260,326,281,314,345,315,300,"","","420",305
"5273",235.92647359172,235.925967871668,235.928083001715,8384.1178865332,8377.95288022213,8390.92723398584,9,3,3,3,3649,3488,3425,3317,3567,3695,3460,3304,3534,"","","336",3488
"5253",145.931170032813,145.930653207726,145.931968294394,8480.59519198084,8464.46567414321,8500.12552031762,7,2,2,3,1453,1334,1452,1497,1581,1499,1377,1481,1401,"","","392",1453
"7313",235.927179298809,235.925627599709,235.92753923528,8508.13961890043,8480.03200417654,8533.61901820678,7,1,3,3,1850,1897,1660,1420,1676,2243,2004,1545,1790,"","","372",1790
"5267",206.97226640609,206.971929302938,206.97329444607,8647.88413393887,8637.21323798089,8664.25165345107,4,2,1,1,1815,1669,1450,1586,1809,1771,1593,1529,1652,"","","389",1652
"8486",206.972377361647,206.971992277047,206.973258937024,8687.58277319253,8680.33096986929,8697.4709783214,6,2,2,2,1815,1693,1518,1649,1817,1771,1593,1529,1613,"","","388",1649
"9794",206.972497899128,206.971906640136,206.973089158121,8701.04002365274,8699.8689166056,8702.21113069987,2,0,1,1,1815,1683,1518,1649,1817,1771,1593,1499,1613,"","","388",1649
