"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pbqc","treatment1","treatment2","pooled_R1.mzXML","pooled_R2.mzXML","Pooled_R3.mzXML","Treatment1_R1.mzXML","Treatment1_R2.mzXML","Treatment1_R3.mzXML","Treatment2_R1.mzXML","Treatment2_R2.mzXML","Treatment2_R3.mzXML","isotopes","adduct","pcgroup","RespMed"
"3660",919.166187210935,919.161333729303,919.168047892348,6444.56088997622,6442.77733657395,6445.20236671474,8,3,3,2,10751,10069,10072,9710,9441,11424,3869,14278,11565,"[955][M]-","","212",10072
"6726",1127.26833184268,1127.26833184268,1127.26833184268,6458.98998836564,6458.98998836564,6458.98998836564,1,0,0,1,906,859,819,227,226,245,1070,1181,1022,"","","272",859
"6577",695.201341775756,695.198472956664,695.2022135197,6472.86580012139,6472.3041346706,6473.25113241424,5,2,0,3,33501,29366,31164,3086,3061,3098,51832,48823,46972,"[1326][M]-","","98",31164
"3713",271.061557849791,271.060049342364,271.062861971991,6491.28744257283,6490.83000385449,6492.78191590337,9,3,3,3,9220,8297,8888,18987,18845,14749,1783,1846,1962,"[968][M]-","","183",8888
"3949",725.210995362996,725.207124731297,725.212535658937,6506.54912613136,6505.11108154666,6507.00627874286,9,3,3,3,34161,30239,32360,10064,9685,10691,49324,49360,45541,"[1035][M]-","","101",32360
"3754",607.147406443119,607.143581889309,607.148142568916,6528.75253735634,6527.21982046688,6529.3714521355,9,3,3,3,34746,29685,31263,8112,9265,12420,51863,42933,41652,"[973][M]-","","97",31263
"4045",637.157847453019,637.15456162416,637.158497045468,6548.7127747301,6547.31614554049,6550.91053449024,9,3,3,3,79402,69645,71513,46788,49480,62396,96296,81967,77244,"[1071][M]-","","57",71513
"3947",725.210746009232,725.207413637215,725.211424448337,6564.93875069831,6563.39293500236,6566.67790787496,9,3,3,3,45807,40141,42608,14274,13929,14692,66128,64156,59025,"[1033][M]-","","81",42608
"3970",961.204251555319,961.203783410153,961.205172479376,6583.20626850673,6581.06310442386,6583.4912654671,3,1,0,2,3799,3341,3425,1380,1558,2016,5597,5029,4403,"[1040][M]-","","307",3425
"8139",961.211118898638,961.210138658749,961.218068761912,6585.49365706491,6584.64340150291,6586.63793123638,3,1,1,1,3799,3341,3425,1380,1558,2016,5597,5029,4403,"","","307",3425
"4021",765.170257943985,765.167240966621,765.171624851016,6607.08409094859,6604.6027919733,6608.72768002181,7,3,1,3,5900,5863,5906,2609,2433,2579,6541,5940,6360,"[1058][M]-","","284",5900
"5247",301.036221477201,301.034793414364,301.036689156439,6624.83555806419,6622.56647248564,6629.05428130438,9,3,3,3,665358,598359,630793,209686,211262,193251,806493,782692,799250,"[1189][M]-","","1",630793
