	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqc	treatment1	treatment2	pooled_R1.mzXML	pooled_R2.mzXML	Pooled_R3.mzXML	Treatment1_R1.mzXML	Treatment1_R2.mzXML	Treatment1_R3.mzXML	Treatment2_R1.mzXML	Treatment2_R2.mzXML	Treatment2_R3.mzXML
11179	902.596477057554	902.596477057554	902.596477057554	8012.628	8012.628	8012.628	1	0	1	0	NA	NA	NA	NA	NA	1109	NA	NA	NA
8511	955.630259261104	955.621836348466	955.636430402085	8012.628	8004.038	8018.122	5	2	1	2	NA	1627	1681	NA	NA	1780	1659	NA	1559
8606	655.472018838706	655.465703263283	655.479633184883	8012.669	8003.999	8018.121	6	2	2	2	NA	2185	1965	2047	NA	2307	1993	NA	1993
5091	639.471131280821	639.469246644374	639.480481668644	8012.708	8010.015	8024.658	5	3	1	1	2063	1777	1890	NA	NA	1916	1875	NA	NA
8561	775.51054201868	775.510018236133	775.514838646962	8012.708	8006.03	8018.644	3	0	2	1	NA	NA	NA	NA	1317	1208	1132	NA	NA
8572	1059.67774804723	1059.67774804723	1059.67774804723	8012.708	8012.708	8012.708	1	0	0	1	NA	NA	NA	NA	NA	NA	1272	NA	NA
9245	857.567235227025	857.562401394324	857.569644365086	8013.04	8006.091	8016.117	4	2	1	1	NA	1811	1914	1978	NA	NA	NA	NA	1712
12210	798.543184155351	798.54025888585	798.546109424853	8013.079	8012.107	8014.051	2	0	2	0	NA	NA	NA	1066	1137	NA	NA	NA	NA
9244	823.554391677612	823.553218258013	823.555565097212	8013.085	8012.107	8014.063	2	1	1	0	NA	NA	1516	1629	NA	NA	NA	NA	NA
11156	939.609684865436	939.605708090244	939.613661640629	8013.3275	8010.015	8016.64	2	1	1	0	NA	1634	NA	NA	NA	1721	NA	NA	NA
7302	805.5308175095	805.521190430959	805.538781333031	8013.839	8010.052	8024.049	5	2	1	2	NA	1141	1227	1207	NA	NA	1194	1230	NA
7313	870.588700943099	870.588700943099	870.588700943099	8013.839	8013.839	8013.839	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	1141	NA
7269	951.624892532898	951.621229569328	951.629086479207	8013.839	8012.708	8024.088	3	1	0	2	NA	NA	1357	NA	NA	NA	1378	1355	NA
4891	749.502324553903	749.502324553903	749.502324553903	8014.022	8014.022	8014.022	1	1	0	0	1058	NA	NA	NA	NA	NA	NA	NA	NA
