	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqc	treatment1	treatment2	pooled_R1.mzXML	pooled_R2.mzXML	Pooled_R3.mzXML	Treatment1_R1.mzXML	Treatment1_R2.mzXML	Treatment1_R3.mzXML	Treatment2_R1.mzXML	Treatment2_R2.mzXML	Treatment2_R3.mzXML
215	1050.25653596928	1050.25653596928	1050.25653596928	16.166	16.166	16.166	1	1	0	0	1327	NA	NA	NA	NA	NA	NA	NA	NA
216	1057.24039588182	1057.24039588182	1057.24039588182	16.166	16.166	16.166	1	1	0	0	1234	NA	NA	NA	NA	NA	NA	NA	NA
258	1185.23058821807	1185.23058821807	1185.23058821807	16.166	16.166	16.166	1	1	0	0	1158	NA	NA	NA	NA	NA	NA	NA	NA
261	1210.2569772034	1210.2569772034	1210.2569772034	16.166	16.166	16.166	1	1	0	0	1262	NA	NA	NA	NA	NA	NA	NA	NA
265	1234.75154788332	1234.74923240917	1234.75386335746	16.168	16.166	16.17	2	1	1	0	1458	NA	NA	NA	1681	NA	NA	NA	NA
93	767.839799334555	767.839550492692	767.841701440787	16.17	16.166	16.215	3	1	1	1	1218	NA	NA	NA	1069	NA	1330	NA	NA
243	1133.79020110473	1133.78284846904	1133.7947329528	16.17	16.166	16.227	3	1	2	0	1445	NA	NA	1375	1314	NA	NA	NA	NA
241	1117.74367904958	1117.74360352177	1117.74375457739	16.1715	16.166	16.177	2	2	0	0	1289	1172	NA	NA	NA	NA	NA	NA	NA
8669	1133.76386142693	1133.76386142693	1133.76386142693	16.172	16.172	16.172	1	1	0	0	NA	NA	1172	NA	NA	NA	NA	NA	NA
8670	1234.72275832299	1234.72275832299	1234.72275832299	16.172	16.172	16.172	1	1	0	0	NA	NA	1178	NA	NA	NA	NA	NA	NA
267	1252.72371766027	1252.7183253712	1252.72686995839	16.1735	16.166	16.227	4	2	2	0	1284	1255	NA	1219	1233	NA	NA	NA	NA
102	802.835160323577	802.83120703581	802.836604115316	16.177	16.166	18.002	7	3	2	2	1353	1404	1250	NA	1249	1278	1283	1270	NA
182	982.275137657648	982.271217500496	982.279301080269	16.177	16.166	18.002	7	3	1	3	1502	1201	1286	NA	1222	NA	1381	1318	1267
256	1183.73580858897	1183.73342047984	1183.74081558497	16.177	16.166	16.215	4	2	1	1	1249	NA	1214	NA	NA	1222	1239	NA	NA
138	895.758697641318	895.754717589746	895.765102005563	16.1795	16.166	18.002	8	3	2	3	1767	1629	2055	NA	1378	1636	1759	2090	1972
150	914.291013011975	914.287312147179	914.297203067606	16.1795	16.166	18.002	8	3	2	3	1494	1268	1319	NA	1220	1251	1286	1273	1187
8664	979.775351638163	979.76678292513	979.778056996971	16.1795	16.17	16.227	6	2	3	1	NA	1997	2129	2000	1801	2208	NA	NA	2346
205	1033.72209797748	1033.71959005378	1033.7254521133	16.1795	16.166	18.002	8	3	2	3	1560	1314	1557	NA	1127	1384	1459	1477	1518
8666	1047.76268204149	1047.75468779837	1047.76556025543	16.1795	16.17	16.227	6	2	3	1	NA	1771	1996	1896	1764	2064	NA	NA	1898
245	1141.76209021493	1141.75857480471	1141.76936986638	16.1795	16.166	18.002	8	3	3	2	1427	1413	1265	1395	1230	1444	1396	1596	NA
252	1167.72094921324	1167.71845883862	1167.72432816631	16.1795	16.166	18.002	6	3	1	2	1234	1148	1123	NA	NA	1202	NA	1269	1140
269	1285.70766610362	1285.70413071791	1285.71252362077	16.1795	16.166	16.227	4	2	2	0	1418	1218	NA	1266	NA	1140	NA	NA	NA
272	112.985594541132	112.985562236295	112.985607242067	16.182	16.166	18.002	9	3	3	3	23964	25346	23802	26713	25729	24184	25254	23778	24077
3	180.973273798045	180.97310529898	180.973490369573	16.182	16.166	18.002	9	3	3	3	20951	21034	20483	21606	20578	20084	21524	20709	20003
4	198.923043604147	198.92239497967	198.923247638292	16.182	16.166	18.002	9	3	3	3	4704	4869	5336	4403	4637	4862	4950	4725	5509
6	200.920089340883	200.918880655278	200.920708221345	16.182	16.166	18.002	9	3	3	3	2863	2910	2984	2329	2457	2832	2829	2928	3080
9	248.960700671318	248.960612411678	248.960822801643	16.182	16.166	18.002	9	3	3	3	79514	76798	74180	79184	76473	76738	80911	81368	72466
10	249.96434386168	249.963839059662	249.965287242995	16.182	16.166	18.002	9	3	3	3	3829	3607	3234	3535	3210	3510	3686	3674	3388
11	250.964856402834	250.963536735257	250.96584051992	16.182	16.166	18.002	9	3	3	3	1417	1296	1241	1417	1387	1233	1281	1280	1307
13	266.910428616299	266.90975020281	266.911342434683	16.182	16.166	18.002	9	3	3	3	2711	2482	3029	2413	2589	2646	2728	2750	2931
15	268.907933910472	268.907130672158	268.908810960833	16.182	16.166	18.002	9	3	3	3	1595	1562	1644	1469	1360	1421	1445	1627	1668
18	290.899469936795	290.89898438886	290.901184852051	16.182	16.166	18.231	9	3	3	3	2333	2038	2374	2001	1939	2276	2228	2342	2281
19	316.948019040841	316.947777877154	316.948355509549	16.182	16.166	18.002	9	3	3	3	71631	67985	64497	68618	67211	67339	70641	71472	62350
20	317.950892728797	317.950386417243	317.952309965756	16.182	16.166	18.002	9	3	3	3	3943	3842	3549	3977	3964	3671	3899	3768	3692
21	318.951488344339	318.950169151542	318.953050234321	16.182	16.166	18.002	9	3	3	3	1508	1413	1304	1447	1299	1389	1692	1618	1404
22	333.897906370741	333.897097418017	333.898039061794	16.182	16.166	18.002	9	3	3	3	20357	18492	21447	18340	17570	19784	20806	20801	20829
23	334.898426499633	334.897560247719	334.899008222177	16.182	16.166	18.002	9	3	3	3	6283	5933	6622	5327	5642	6006	6579	6213	6591
24	335.896861785813	335.896089275932	335.897550175478	16.182	16.166	18.002	9	3	3	3	10159	9441	10551	8778	8651	9845	9777	10653	9824
25	336.895434457022	336.893940882238	336.896250574129	16.182	16.166	18.002	9	3	3	3	3309	3206	3513	3173	3078	3228	3553	3331	3525
26	338.893967072988	338.893250224973	338.894167745573	16.182	16.166	18.002	9	3	3	3	1961	2009	1994	1778	1775	1968	1984	2232	2084
27	356.887444584948	356.88634767484	356.889435810025	16.182	16.166	18.002	9	3	3	3	2679	2374	2503	1998	2110	2401	2513	2665	2434
28	358.886506507204	358.883481540351	358.889778113965	16.182	16.166	18.002	9	3	3	3	1365	1250	1398	1314	1269	1298	1453	1391	1344
29	384.935117612428	384.934848005604	384.935336210798	16.182	16.166	18.002	9	3	3	3	44369	42725	39445	43821	43123	42434	45428	44955	39023
30	385.937895077744	385.93742296794	385.938953849504	16.182	16.166	18.002	9	3	3	3	3130	2700	2823	3105	3057	3019	3030	3246	2601
31	401.884824508876	401.88392686059	401.885185320075	16.182	16.166	18.002	9	3	3	3	22990	19875	22341	19845	18697	22222	21901	22647	20797
32	402.885000739827	402.884471651669	402.885617340953	16.182	16.166	18.002	9	3	3	3	14661	14306	15563	13430	13514	14566	14736	14877	15151
33	403.8838334372	403.883198310174	403.884266482078	16.182	16.166	18.002	9	3	3	3	11780	10086	11110	10323	9905	10988	10971	11745	10866
34	404.881696547002	404.881150341578	404.882631948376	16.182	16.166	18.002	9	3	3	3	8678	8152	9259	7600	8000	8332	9001	8599	8965
35	405.884203994222	405.882394781085	405.885238950819	16.182	16.166	18.002	9	3	3	3	1985	1859	2163	1620	1694	1840	2030	2002	1991
36	406.880570793557	406.879710467566	406.881072135097	16.182	16.166	18.002	9	3	3	3	5313	4825	5500	4618	4670	5075	5407	5357	5519
37	452.922591943625	452.922047803655	452.923032359051	16.182	16.166	18.002	9	3	3	3	44511	40346	37768	43795	41424	41754	41858	42857	37856
38	453.925863703196	453.923268275538	453.926731954681	16.182	16.166	18.002	9	3	3	3	3325	3274	2963	3582	3274	3456	3664	3479	2987
39	454.928216700528	454.926148440142	454.928325735212	16.182	16.166	18.002	9	3	3	3	1465	1429	1292	1372	1332	1374	1375	1503	1269
40	469.872427998125	469.871967774355	469.873026866524	16.182	16.166	18.002	9	3	3	3	11710	10593	11788	9813	9441	10797	11970	11373	10974
41	470.872855854431	470.871614129919	470.874813471768	16.182	16.166	18.002	9	3	3	3	3935	3673	4060	3733	3729	3934	4095	4077	4146
42	471.871259143119	471.870081257919	471.872108598169	16.182	16.166	18.002	9	3	3	3	6030	5461	5734	4793	4957	5605	5721	5902	5553
43	472.869004900047	472.868022263793	472.8707814999	16.182	16.166	18.002	9	3	3	3	2354	2061	2344	2170	2035	2096	2370	2356	2448
44	474.867618871766	474.866175895848	474.869954010777	16.182	16.166	18.002	7	3	1	3	1369	1243	1333	NA	NA	1154	1377	1240	1283
47	520.909537168321	520.909004586768	520.909999046594	16.182	16.166	18.002	9	3	3	3	42586	39638	35674	41944	40221	40100	40857	41110	35872
48	521.913122000872	521.911903205811	521.913798885788	16.182	16.166	18.002	9	3	3	3	3927	3635	3382	3574	3483	3631	3826	3896	3384
49	522.91509958678	522.913204041131	522.91705458987	16.182	16.166	18.002	9	3	3	3	1462	1582	1346	1417	1422	1446	1467	1526	1446
50	537.859733819947	537.859276505666	537.861315941816	16.182	16.166	18.002	9	3	3	3	10300	9189	9990	8561	8831	9998	9902	10400	9659
51	538.860414503792	538.85897284802	538.861307277946	16.182	16.166	18.002	9	3	3	3	3516	3209	3433	3152	3118	3178	3387	3406	3549
52	539.85883586191	539.857848407889	539.860239703085	16.182	16.166	18.002	9	3	3	3	5103	4570	4887	4339	4441	4786	5048	5234	4804
53	540.857629957072	540.856249629961	540.859707509805	16.182	16.166	18.002	9	3	3	3	1788	1781	1925	1700	1796	1843	1825	1807	1867
56	588.897562813698	588.897375797588	588.898126499874	16.182	16.166	18.002	9	3	3	3	46697	40828	38676	44613	42904	43053	44060	45003	37816
57	589.900957477536	589.899944671095	589.902679177961	16.182	16.166	18.002	9	3	3	3	4786	4736	3948	4703	4670	4605	4648	4574	4061
58	590.901118999583	590.898700996971	590.903054853219	16.182	16.166	18.002	9	3	3	3	1895	1775	1603	1813	1568	1808	1856	1947	1750
59	605.847508172316	605.846806339874	605.849749551604	16.182	16.166	18.002	9	3	3	3	10588	9406	10582	8964	9030	10053	10573	10793	10128
60	606.848109352825	606.847451452521	606.849139334805	16.182	16.166	18.002	9	3	3	3	4047	3896	4002	3460	3588	3999	4329	3872	4089
61	607.846541021949	607.845049666547	607.847272330905	16.182	16.166	18.002	9	3	3	3	5595	4907	5549	4736	4741	5086	5673	5258	5179
62	608.844847752815	608.844273565433	608.84606532134	16.182	16.166	18.002	9	3	3	3	2390	2168	2218	2003	2054	2253	2266	2393	2325
67	656.88559606943	656.884567748507	656.885915345113	16.182	16.166	18.002	9	3	3	3	33930	31923	29323	34308	32696	32615	33410	34604	29487
68	657.88856837457	657.884597610251	657.890027477898	16.182	16.166	18.002	9	3	3	3	4031	3655	3596	3896	3575	3801	3877	4014	3237
69	658.889607815602	658.887718616373	658.893680812693	16.182	16.166	18.002	9	3	3	3	1657	1549	1456	1619	1555	1458	1701	1566	1294
70	673.83621468281	673.834608449646	673.836479913206	16.182	16.166	18.002	9	3	3	3	12524	10809	12176	10675	10003	11765	12205	12276	11639
71	674.83666081887	674.833477669622	674.837055732136	16.182	16.166	18.002	9	3	3	3	4567	4439	4663	3883	4007	4383	4704	4326	4340
72	675.83388271709	675.833286554699	675.835376413743	16.182	16.166	18.002	9	3	3	3	6583	5742	6159	5294	5545	6303	6047	6775	6023
73	676.833744376007	676.830760029892	676.837362931084	16.182	16.166	18.002	9	3	3	3	2564	2433	2586	2281	2183	2500	2515	2462	2685
74	678.831167751903	678.828502665592	678.834836550553	16.182	16.166	18.002	9	3	3	3	1263	1314	1324	1219	1066	1268	1291	1298	1341
79	724.872474200961	724.87187580254	724.872814037611	16.182	16.166	18.002	9	3	3	3	36595	32649	29426	35588	33321	34177	34989	35463	29968
80	725.876335773312	725.875016489574	725.87773554149	16.182	16.166	18.002	9	3	3	3	4448	4193	3727	4628	4495	4523	4322	4615	3587
81	726.878840465113	726.876857870717	726.881356351042	16.182	16.166	18.002	9	3	3	3	1967	1778	1605	1728	1670	1703	1667	1879	1595
82	741.823614932658	741.82284715644	741.824290312905	16.182	16.166	18.002	9	3	3	3	12700	11443	11978	10934	10662	12345	12280	13042	12245
83	742.824427155735	742.823309388591	742.827296346608	16.182	16.166	18.002	9	3	3	3	5236	4539	4800	4520	4354	4743	4524	5058	4882
84	743.822982939948	743.821711301291	743.825603812268	16.182	16.166	18.002	9	3	3	3	6655	6044	6390	6056	6037	6270	6793	6436	6182
85	744.82262412835	744.820615940169	744.823832484384	16.182	16.166	18.002	9	3	3	3	2895	2562	2726	2542	2405	2601	2668	2692	2864
86	746.821113342868	746.819125084603	746.822971147659	16.182	16.166	18.002	9	3	3	3	1351	1209	1412	1187	1314	1399	1362	1387	1261
87	758.858257647412	758.853812052987	758.862907197705	16.182	16.166	18.211	9	3	3	3	5678	5371	4359	5707	5555	5530	5436	5466	4344
88	759.366066251447	759.364875818455	759.370703313691	16.182	16.166	18.002	7	2	3	2	1518	1385	NA	1553	1525	1426	1321	1475	NA
91	761.772903483851	761.769502789565	761.774633378388	16.182	16.166	18.002	7	3	1	3	1463	1136	1567	NA	NA	1280	1379	1511	1368
92	767.340195555932	767.336818999454	767.341769077726	16.182	16.166	18.002	9	3	3	3	2521	2017	2143	2069	2033	2256	2603	2405	2146
94	768.34085345479	768.338235134785	768.342863335835	16.182	16.166	18.002	9	3	3	3	1529	1509	1359	1317	1316	1536	1507	1597	1365
95	792.861351774852	792.860526836236	792.861836710307	16.182	16.166	18.002	9	3	3	3	37290	35158	30773	37103	36191	35124	35457	36101	30129
96	793.361107729295	793.358234860198	793.365911684941	16.182	16.166	18.002	9	3	3	3	2220	1945	1615	2338	2230	1971	2053	2150	1676
97	793.863690619836	793.861854056948	793.866117937001	16.182	16.166	18.002	9	3	3	3	5317	4778	4143	5101	5094	4959	5067	4901	4366
98	794.866421496821	794.864038261407	794.869239417329	16.182	16.166	18.002	9	3	3	3	1787	1766	1504	1745	1682	1703	1800	1749	1523
99	801.334320017864	801.33117478323	801.336094498204	16.182	16.166	18.002	9	3	3	3	4417	3960	4018	4462	3785	4000	4264	4254	3553
100	801.832888448766	801.829700454266	801.835288271574	16.182	16.166	18.002	9	3	3	3	2197	1862	1919	2032	1865	2026	2068	2140	1902
101	802.334007424464	802.331802930703	802.336536830682	16.182	16.166	18.002	9	3	3	3	2816	2610	2280	2548	2492	2636	2715	2747	2575
103	809.811529332303	809.8105332246	809.812579185018	16.182	16.166	18.002	9	3	3	3	13856	12303	13058	11384	11585	12515	13352	13749	12812
104	810.812349582373	810.809981595175	810.813619855177	16.182	16.166	18.002	9	3	3	3	5907	5345	5946	5382	5296	5868	5887	6045	5715
105	811.81067592439	811.807418308587	811.812300436621	16.182	16.166	18.002	9	3	3	3	7369	6439	7027	6228	6007	6714	7057	7296	7082
106	812.811242915135	812.808106704745	812.813247600866	16.182	16.166	18.002	9	3	3	3	3028	2728	2698	2880	2723	2778	3127	3061	3092
107	814.806295975028	814.803888573835	814.808071407889	16.182	16.166	18.002	9	3	3	3	1281	1145	1235	1289	1271	1322	1300	1331	1318
108	826.847885432741	826.843244232409	826.850027912693	16.182	16.166	18.002	9	3	3	3	7953	7628	5824	8723	7915	7805	7899	7567	6083
109	827.353627779535	827.350603220144	827.356481463133	16.182	16.166	18.002	9	3	3	3	2289	2151	1783	2467	2239	2050	2150	2300	1733
110	827.770580110802	827.765801723334	827.778371008338	16.182	16.166	18.002	7	3	1	3	1423	1690	1809	NA	NA	1531	1660	1625	1694
111	828.7600999421	828.757356074765	828.76141489335	16.182	16.166	18.002	9	3	3	3	2538	2182	2914	2076	1950	2596	2544	2698	2614
112	829.759944785382	829.758754644806	829.763380666698	16.182	16.166	18.002	9	3	3	3	1516	1341	1737	1170	1330	1515	1569	1584	1678
113	835.327113547566	835.326280640478	835.329966984454	16.182	16.166	18.002	9	3	3	3	5810	5025	4693	5092	5331	5320	5366	5783	5123
114	835.828742278963	835.824586030597	835.830350927615	16.182	16.166	18.002	9	3	3	3	3220	2900	2522	2980	2704	2747	2943	2807	2683
115	836.328120045012	836.32513897721	836.329939224591	16.182	16.166	18.002	9	3	3	3	3939	3612	3237	3467	3366	3578	3736	3751	3214
116	836.828760074972	836.82501559335	836.8316547121	16.182	16.166	18.002	9	3	3	3	1920	1833	1643	1800	1679	1930	1783	1951	1745
117	843.802261157733	843.795744332109	843.804757341877	16.182	16.166	18.002	9	3	3	3	1873	1661	1785	1656	1489	1822	1942	1776	1611
118	844.303031289678	844.300891439994	844.308449698617	16.182	16.166	18.002	7	3	1	3	1371	1177	1466	NA	NA	1290	1337	1426	1358
119	844.801823749358	844.799183498257	844.805899106781	16.182	16.166	18.002	9	3	3	3	2354	1842	2075	1813	2016	2137	2124	2225	2101
120	845.302969315412	845.296620012564	845.30540160314	16.182	16.166	18.002	9	3	3	3	1520	1327	1421	1250	1370	1349	1374	1485	1491
121	860.848401308388	860.847591388249	860.849165784591	16.182	16.166	18.002	9	3	3	3	30473	28365	23985	31110	29319	28969	28857	29386	24826
122	861.34847850116	861.345702080338	861.351927078801	16.182	16.166	18.002	9	3	3	3	2481	2036	1779	2499	2296	2309	2400	2250	1674
123	861.852101584217	861.850133048224	861.854451585353	16.182	16.166	18.002	9	3	3	3	4800	4073	3628	4634	4298	4242	4262	4393	3677
124	862.852726131188	862.849642002994	862.855574086564	16.182	16.166	18.002	9	3	3	3	1549	1400	1370	1676	1632	1452	1621	1478	1399
125	869.323319635102	869.321683493228	869.324516465965	16.182	16.166	18.002	9	3	3	3	5694	5770	5355	5518	5180	5828	5970	5893	5371
126	869.821476530076	869.818340297431	869.823375674993	16.182	16.166	18.002	9	3	3	3	3695	3266	3098	3095	3005	3372	3229	3494	2829
127	870.321360742541	870.318937878035	870.323685472371	16.182	16.166	18.002	9	3	3	3	4306	3777	3263	3807	3808	3852	4103	3998	3352
128	870.821806241656	870.818146278931	870.824688601872	16.182	16.166	18.002	9	3	3	3	2092	1895	1906	2182	1884	2029	2384	2065	1863
129	877.798597297734	877.797128742706	877.800513646436	16.182	16.166	18.002	9	3	3	3	12833	11883	12282	11526	10748	12439	12987	12987	12068
130	878.298855541573	878.295325988736	878.302478961971	16.182	16.166	18.002	9	3	3	3	1867	1729	1698	1737	1519	1725	1687	1838	1703
131	878.798594499407	878.797567894004	878.800224658108	16.182	16.166	18.002	9	3	3	3	7082	6481	6977	6180	6309	6866	7169	7185	6960
132	879.29757149509	879.293604785461	879.29972480649	16.182	16.166	18.002	9	3	3	3	2120	1870	1840	1801	1584	1934	2030	2051	1948
133	879.797999549536	879.796025503534	879.799604062463	16.182	16.166	18.002	9	3	3	3	7610	6317	6922	6313	5877	6968	7374	7214	6968
134	880.798199553843	880.793676536144	880.801786568985	16.182	16.166	18.002	9	3	3	3	3097	2761	2901	2868	2633	2946	3044	2942	2924
135	882.794789714222	882.792016696488	882.797917978707	16.182	16.166	18.002	9	3	3	3	1393	1237	1180	1235	1173	1137	1244	1232	1313
136	894.830067652199	894.823187245717	894.836640716021	16.182	16.166	18.22	9	3	3	3	7118	6281	5174	7062	6618	6377	6490	6473	5055
137	895.342628890816	895.338607830106	895.346782232967	16.182	16.166	18.002	9	3	3	3	2360	1921	1491	2255	2015	1831	2092	2052	1603
139	896.747749504053	896.746077445919	896.752954129159	16.182	16.166	18.002	9	3	3	3	2603	2360	2820	2076	2096	2540	2629	2671	2698
140	897.74963207878	897.744259819907	897.751944300346	16.182	16.166	18.002	9	3	3	3	1585	1588	1804	1330	1345	1581	1678	1609	1936
141	903.314846823312	903.313907908512	903.319459504199	16.182	16.166	18.002	9	3	3	3	6194	5244	4910	5413	5255	5465	5578	5690	4608
142	903.815940018848	903.809501160988	903.820801858487	16.182	16.166	18.002	9	3	3	3	3330	2928	3035	3254	3078	3122	3400	3189	2872
143	904.315643058376	904.314359131481	904.3168757024	16.182	16.166	18.002	9	3	3	3	4065	3733	3392	3769	3431	3536	3781	3953	3333
144	904.817202831895	904.811244772936	904.821696675274	16.182	16.166	18.002	9	3	3	3	2229	1981	1734	2014	1959	1944	2092	2128	1778
145	911.788814231459	911.786651258966	911.792497244355	16.182	16.166	18.002	9	3	3	3	2353	2155	2276	2051	1902	2117	2296	2419	2244
146	912.291211967314	912.288115441159	912.293665227661	16.182	16.166	18.002	9	3	3	3	1945	1822	1917	1624	1487	1842	1872	1990	1876
147	912.79050136418	912.788152210833	912.793948809324	16.182	16.166	18.002	9	3	3	3	3048	2759	2892	2329	2585	2938	2806	3165	2790
148	913.291525264018	913.286522544775	913.294427875092	16.182	16.166	18.002	9	3	3	3	2298	1861	2107	1771	1878	2029	2146	2194	2079
149	913.782203146286	913.772522431539	913.784727679697	16.182	16.166	18.002	9	3	3	3	1634	1554	1535	1449	1327	1558	1643	1703	1627
151	928.835066844929	928.833364544034	928.835701445571	16.182	16.166	18.002	9	3	3	3	22654	20551	17207	21957	20613	20812	20595	20950	17904
152	929.331270085998	929.32835903573	929.337068637468	16.182	16.166	18.002	9	3	3	3	2029	1926	1506	2158	1985	1781	1935	2009	1618
153	929.835405752596	929.831386331973	929.838564796627	16.182	16.166	18.002	9	3	3	3	3746	3236	3000	3750	3661	3522	3439	3521	2896
155	937.309867588683	937.307107058703	937.313056269728	16.182	16.166	18.002	9	3	3	3	5288	4850	4496	5049	4622	4766	5137	5326	4235
156	937.809503110301	937.807101106513	937.814431492051	16.182	16.166	18.002	9	3	3	3	3081	3101	2537	3215	3065	2885	3136	3164	2850
157	938.308350708549	938.305367554472	938.311074594204	16.182	16.166	18.002	9	3	3	3	4009	3172	3183	3376	3374	3573	3614	3948	3354
158	938.809475748119	938.803311059	938.811977233551	16.182	16.166	18.002	9	3	3	3	2009	1905	1714	2211	2010	1972	2045	1889	1819
159	945.785696989956	945.78366124372	945.786757586287	16.182	16.166	18.002	9	3	3	3	10771	9667	10010	9153	8901	10203	9752	10693	9537
160	946.284817137094	946.280241830601	946.287710497235	16.182	16.166	18.002	9	3	3	3	1945	1809	2078	1627	1652	1950	2017	2060	1872
161	946.786363533023	946.783181144705	946.789437461986	16.182	16.166	18.002	9	3	3	3	6744	5791	6024	5284	5244	6379	6335	6293	6112
162	947.284226160623	947.279985599013	947.287817897928	16.182	16.166	18.002	9	3	3	3	2205	2077	2063	2080	1706	2198	2078	2308	2122
163	947.785201997541	947.783837883492	947.790318999239	16.182	16.166	18.002	9	3	3	3	6243	5443	5771	5207	5421	5719	6029	6216	5513
165	948.784354639473	948.780862746811	948.788530425466	16.182	16.166	18.002	9	3	3	3	2676	2471	2636	2379	2396	2517	2733	2800	2663
169	963.328298463075	963.324199058691	963.332081473486	16.182	16.166	18.002	9	3	3	3	1881	1729	1341	1988	1858	1697	1717	1771	1328
170	963.74971031744	963.746028847549	963.755915404535	16.182	16.166	18.002	9	3	3	3	1706	1636	1911	1564	1531	1683	1698	1898	1829
171	964.737354046496	964.735148650403	964.741607340819	16.182	16.166	18.002	9	3	3	3	2748	2290	2884	1946	1920	2359	2512	2558	2649
172	965.735623082312	965.731014216869	965.741526398377	16.182	16.166	18.002	9	3	3	3	1714	1527	1815	1418	1207	1519	1551	1661	1750
173	971.302883983026	971.299105831294	971.304889444354	16.182	16.166	18.002	9	3	3	3	5026	4491	3741	4436	4292	4367	4741	4905	3850
174	971.80341424196	971.798796333062	971.806975668036	16.182	16.166	18.002	9	3	3	3	2917	2720	2319	3064	2761	2923	2678	2959	2358
175	972.302028706219	972.300063254177	972.305818332185	16.182	16.166	18.002	9	3	3	3	3626	3062	2630	3190	3000	3105	3275	3417	2671
176	972.800616190627	972.796713000458	972.806486981593	16.182	16.166	18.002	9	3	3	3	1885	1862	1583	1807	1837	1842	1872	1928	1686
178	980.275438630881	980.272624870614	980.279560821148	16.182	16.166	18.002	9	3	3	3	1978	1757	1688	1680	1548	1904	1877	1840	1801
179	980.77475165875	980.773119251487	980.781160007699	16.182	16.166	18.002	9	3	3	3	3277	2756	2920	2451	2382	2760	3220	3159	2857
180	981.276869490719	981.274308446759	981.281451135428	16.182	16.166	18.002	9	3	3	3	2243	2037	2099	1945	1971	1975	2213	2078	2069
181	981.763790711852	981.761251679203	981.77014869497	16.182	16.166	18.22	9	3	3	3	1823	1477	1582	1392	1345	1537	1621	1782	1552
185	996.821367140392	996.81987131269	996.822078460261	16.182	16.166	18.002	9	3	3	3	15458	13893	11604	15043	14828	14105	14307	14609	12067
186	997.319838413597	997.317694051162	997.321753194504	16.182	16.166	18.002	7	2	3	2	1555	1486	NA	1691	1595	1637	1549	1572	NA
187	997.821355786175	997.818417881353	997.826680995762	16.182	16.166	18.002	9	3	3	3	2800	2643	2184	2770	2907	2607	2637	2796	2347
188	1005.2939239958	1005.29141427219	1005.29632027375	16.182	16.166	18.002	9	3	3	3	4415	3613	3465	4194	4060	3915	4033	4187	3397
189	1005.79609553063	1005.793399891	1005.80005385811	16.182	16.166	18.002	9	3	3	3	2560	2614	2171	2701	2286	2686	2624	2779	2199
190	1006.29622061364	1006.29207144486	1006.29889736005	16.182	16.166	18.002	9	3	3	3	3204	2584	2514	3079	2766	2792	2882	2932	2580
191	1006.79299523863	1006.78991743034	1006.7979084522	16.182	16.166	18.002	9	3	3	3	1897	1661	1434	1763	1761	1621	1646	1919	1599
192	1013.77322305581	1013.77107494484	1013.77605800861	16.182	16.166	18.002	9	3	3	3	8017	6840	7354	6665	6582	7474	7543	7921	7655
193	1014.27214126519	1014.26835049758	1014.27517743836	16.182	16.166	18.002	9	3	3	3	1832	1806	1808	1698	1533	1812	1804	1856	1665
194	1014.77149290771	1014.76922912221	1014.77444233662	16.182	16.166	18.002	9	3	3	3	5207	4642	4698	4582	4326	4947	5052	5127	4773
195	1015.27071596637	1015.26431952775	1015.27856225573	16.182	16.166	18.002	9	3	3	3	2124	1940	2133	1875	1680	1859	2136	2096	1908
196	1015.77135443595	1015.76933614487	1015.77648099796	16.182	16.166	18.002	9	3	3	3	4744	4088	4374	4307	4062	4774	4650	4711	4580
197	1016.26615485177	1016.26136556264	1016.2709363901	16.182	16.166	18.002	7	2	2	3	1270	NA	1170	NA	1130	1200	1307	1210	1198
198	1016.77086058593	1016.76385353347	1016.77406372881	16.182	16.166	18.002	9	3	3	3	2191	2054	2024	1887	1854	2217	2177	2054	2171
199	1023.24957684762	1023.24001440016	1023.25098489271	16.182	16.166	18.002	5	2	1	2	1286	NA	1267	NA	NA	1195	NA	1237	1211
200	1023.74201523554	1023.74029388405	1023.75040370729	16.182	16.166	16.206	3	1	1	1	1228	NA	NA	NA	NA	1230	NA	NA	1239
203	1031.73758415382	1031.7340784017	1031.74582380572	16.182	16.166	18.002	9	3	3	3	1736	1538	1637	1385	1442	1628	1729	1713	1878
204	1032.72456014044	1032.72165411074	1032.72807603519	16.182	16.166	18.002	9	3	3	3	2157	1950	2525	1784	1633	2209	2152	2182	2191
206	1039.28819423051	1039.28419273885	1039.29250249806	16.182	16.166	18.002	9	3	3	3	4033	3370	2802	3619	3557	3457	3458	3558	3178
207	1039.7904496577	1039.78635374473	1039.79341538724	16.182	16.166	18.002	9	3	3	3	2314	2369	2144	2163	2175	2304	2153	2282	1862
208	1040.28782924229	1040.28480332769	1040.29180895477	16.182	16.166	18.002	9	3	3	3	2858	2841	2374	2693	2572	2823	2724	2770	2266
209	1040.78276898192	1040.780590261	1040.78997088151	16.182	16.166	18.002	9	3	3	3	1734	1458	1351	1548	1488	1525	1597	1562	1244
211	1048.26319179763	1048.25612812847	1048.2695936044	16.182	16.166	18.002	9	3	3	3	1590	1593	1422	1608	1315	1794	1621	1598	1645
212	1048.76343830337	1048.75745671219	1048.76794637045	16.182	16.166	18.002	9	3	3	3	2705	2370	2331	2182	2315	2645	2635	2863	2693
